PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36275590","Crop yield and water use efficiency in response to long-term diversified crop rotations","Cui Z, Yan B, Gao Y, Wu B, Wang Y, Xie Y, Xu P, Wang H, Wen M, Wang Y, Ma X.","Front Plant Sci. 2022 Oct 7;13:1024898. doi: 10.3389/fpls.2022.1024898. eCollection 2022.","Cui Z","Front Plant Sci","2022","2022/10/24","PMC9585309","","10.3389/fpls.2022.1024898"
"32328898","Assessing biochar application to immobilize Cd and Pb in a contaminated soil: a field experiment under a cucumber-sweet potato-rape rotation","Jiang S, Liu J, Wu J, Dai G, Wei D, Shu Y.","Environ Geochem Health. 2020 Dec;42(12):4233-4244. doi: 10.1007/s10653-020-00564-9. Epub 2020 Apr 23.","Jiang S","Environ Geochem Health","2020","2020/04/25","","","10.1007/s10653-020-00564-9"
"10426115","Crop rotation impacts on potato protein","Honeycutt CW.","Plant Foods Hum Nutr. 1998;52(4):279-91. doi: 10.1023/a:1008046223958.","Honeycutt CW","Plant Foods Hum Nutr","1998","1999/07/30","","","10.1023/a:1008046223958"
"35543066","[Soil bacterial community characteristics and ecological function prediction of alfalfa and crop rotation systems in the Loess Plateau, Northwest China]","Wang XF, Luo ZZ, Zhang RZ, Niu YN, Li LL, Tian JX, Sun PZ, Liu JH.","Ying Yong Sheng Tai Xue Bao. 2022 Apr;33(4):1109-1117. doi: 10.13287/j.1001-9332.202204.028.","Wang XF","Ying Yong Sheng Tai Xue Bao","2022","2022/05/11","","","10.13287/j.1001-9332.202204.028"
"36910189","Crop rotations increased soil ecosystem multifunctionality by improving keystone taxa and soil properties in potatoes","Li QM, Zhang D, Zhang JZ, Zhou ZJ, Pan Y, Yang ZH, Zhu JH, Liu YH, Zhang LF.","Front Microbiol. 2023 Feb 23;14:1034761. doi: 10.3389/fmicb.2023.1034761. eCollection 2023.","Li QM","Front Microbiol","2023","2023/03/13","PMC9995906","","10.3389/fmicb.2023.1034761"
"19090292","The effects of weed-crop competition on nutrient uptake as affected by crop rotation and fertilizers","Mohammaddoust-E-Chamanabad HR, Asghari A, Tulikov AM.","Pak J Biol Sci. 2007 Nov 15;10(22):4128-31. doi: 10.3923/pjbs.2007.4128.4131.","Mohammaddoust-E-Chamanabad HR","Pak J Biol Sci","2007","2008/12/19","","","10.3923/pjbs.2007.4128.4131"
"35896720","Identification and comparison of biological characteristics and pathogenicity of different mating types of V. dahliae isolated from potato and sunflower","Yan N, Addrah ME, Zhang Y, Jia R, Kang L, Zhao J, Zhang J.","Sci Rep. 2022 Jul 27;12(1):12840. doi: 10.1038/s41598-022-17196-x.","Yan N","Sci Rep","2022","2022/07/27","PMC9329468","","10.1038/s41598-022-17196-x"
"19277157","Role of nematodes, nematicides, and crop rotation on the productivity and quality of potato, sweet potato, peanut, and grain sorghum","Johnson AW, Dowler CC, Glaze NC, Handoo ZA.","J Nematol. 1996 Sep;28(3):389-99.","Johnson AW","J Nematol","1996","2009/03/12","PMC2619705","",""
"33709540","Potato cyst nematodes Globodera rostochiensis and G. pallida","Price JA, Coyne D, Blok VC, Jones JT.","Mol Plant Pathol. 2021 May;22(5):495-507. doi: 10.1111/mpp.13047. Epub 2021 Mar 11.","Price JA","Mol Plant Pathol","2021","2021/03/12","PMC8035638","","10.1111/mpp.13047"
"25705931","Colonisation of winter wheat grain by Fusarium spp. and mycotoxin content as dependent on a wheat variety, crop rotation, a crop management system and weather conditions","Czaban J, Wróblewska B, Sułek A, Mikos M, Boguszewska E, Podolska G, Nieróbca A.","Food Addit Contam Part A Chem Anal Control Expo Risk Assess. 2015;32(6):874-910. doi: 10.1080/19440049.2015.1019939. Epub 2015 Mar 23.","Czaban J","Food Addit Contam Part A Chem Anal Control Expo Risk Assess","2015","2015/02/24","","","10.1080/19440049.2015.1019939"
"26282743","The influence of nitrogen fertiliser rate and crop rotation on soil methane flux in rain-fed potato fields in Wuchuan County, China","Wang L, Pan Z, Xu H, Wang C, Gao L, Zhao P, Dong Z, Zhang J, Cui G, Wang S, Han G, Zhao H.","Sci Total Environ. 2015 Dec 15;537:93-9. doi: 10.1016/j.scitotenv.2015.08.003. Epub 2015 Aug 14.","Wang L","Sci Total Environ","2015","2015/08/19","","","10.1016/j.scitotenv.2015.08.003"
"39405850","Regulation of wheat yield by soil multifunctionality and metagenomic-based microbial degradation potentials under crop rotations","Liu Y, Wen M, Hu R, Zhao F, Wang J.","J Environ Manage. 2024 Nov;370:122897. doi: 10.1016/j.jenvman.2024.122897. Epub 2024 Oct 13.","Liu Y","J Environ Manage","2024","2024/10/15","","","10.1016/j.jenvman.2024.122897"
"37233046","Leveraging RNA Interference to Impact Insecticide Resistance in the Colorado Potato Beetle, Leptinotarsa decemlineata","Timani K, Bastarache P, Morin PJ.","Insects. 2023 Apr 27;14(5):418. doi: 10.3390/insects14050418.","Timani K","Insects","2023","2023/05/26","PMC10231074","","10.3390/insects14050418"
"16022298","Effect of crop rotation distance on populations of Colorado potato beetle (Coleoptera: Chrysomelidae): development of areawide Colorado potato beetle pest management strategies","Sexson DL, Wyman JA.","J Econ Entomol. 2005 Jun;98(3):716-24. doi: 10.1603/0022-0493-98.3.716.","Sexson DL","J Econ Entomol","2005","2005/07/19","","","10.1603/0022-0493-98.3.716"
"26466794","Chemical Ecology of the Colorado Potato Beetle, Leptinotarsa decemlineata (Say) (Coleoptera: Chrysomelidae), and Potential for Alternative Control Methods","Sablon L, Dickens JC, Haubruge É, Verheggen FJ.","Insects. 2012 Dec 20;4(1):31-54. doi: 10.3390/insects4010031.","Sablon L","Insects","2012","2015/10/16","PMC4553428","","10.3390/insects4010031"
"19270980","Effects of potato-cotton cropping systems and nematicides on plant-parasitic nematodes and crop yields","Crow WT, Weingartner DP, Dickson DW.","J Nematol. 2000 Sep;32(3):297-302.","Crow WT","J Nematol","2000","2009/03/10","PMC2620462","",""
"18950039","Potato field colonization by low-density populations of Colorado potato beetle as a function of crop rotation distance","Boiteau G, Picka JD, Watmough J.","J Econ Entomol. 2008 Oct;101(5):1575-83. doi: 10.1603/0022-0493(2008)101[1575:pfcblp]2.0.co;2.","Boiteau G","J Econ Entomol","2008","2008/10/28","","","10.1603/0022-0493(2008)101[1575:pfcblp]2.0.co;2"
"10826179","Effect of crop rotation on populations of Epitrix tuberis (Coleoptera: Chrysomelidae) in potato","Kabaluk JT, Vernon RS.","J Econ Entomol. 2000 Apr;93(2):315-22. doi: 10.1603/0022-0493-93.2.315.","Kabaluk JT","J Econ Entomol","2000","2000/05/29","","","10.1603/0022-0493-93.2.315"
"35437344","Effect of Biofumigation on Population Densities of Pratylenchus spp. and Verticillium spp. and Potato Yield in Eastern Canada","Chen D, Zebarth BJ, Goyer C, Comeau LP, Nahar K, Dixon T.","Am J Potato Res. 2022;99(3):229-242. doi: 10.1007/s12230-022-09875-2. Epub 2022 Apr 13.","Chen D","Am J Potato Res","2022","2022/04/19","PMC9007048","","10.1007/s12230-022-09875-2"
"39654962","Effects of different preceding crops on soil nutrients and foxtail millet productivity and quality","Shi C, Qiu T, Zhang Y, Ma Y, Li X, Dong S, Yuan X, Song X.","Front Plant Sci. 2024 Nov 25;15:1477756. doi: 10.3389/fpls.2024.1477756. eCollection 2024.","Shi C","Front Plant Sci","2024","2024/12/10","PMC11625555","","10.3389/fpls.2024.1477756"
"34328956","Simulating soil nitrogen fate in irrigated crop production with manure applications","Koehn AC, Bjorneberg DL, Malone RW, Leytem AB, Moore A, Ma L, Bartling PNS.","Sci Total Environ. 2021 Nov 1;793:148510. doi: 10.1016/j.scitotenv.2021.148510. Epub 2021 Jun 17.","Koehn AC","Sci Total Environ","2021","2021/07/30","","","10.1016/j.scitotenv.2021.148510"
"23321104","Effects of landscape composition and rotation distance on Leptinotarsa decemlineata (Coleoptera: Chrysomelidae) abundance in cultivated potato","Huseth AS, Frost KE, Knuteson DL, Wyman JA, Groves RL.","Environ Entomol. 2012 Dec;41(6):1553-64. doi: 10.1603/EN12128.","Huseth AS","Environ Entomol","2012","2013/01/17","","","10.1603/EN12128"
"36972885","Circular agriculture increases food production and can reduce N fertilizer use of commercial farms for tropical environments","Moreira SG, Hoogenboom G, Nunes MR, Martin-Ryals AD, Sanchez PA.","Sci Total Environ. 2023 Jun 25;879:163031. doi: 10.1016/j.scitotenv.2023.163031. Epub 2023 Mar 25.","Moreira SG","Sci Total Environ","2023","2023/03/27","","","10.1016/j.scitotenv.2023.163031"
"37425359","Dynamic changes of soil microorganisms in rotation farmland at the western foot of the Greater Khingan range","Wei S, Fang J, Zhang T, Wang J, Cheng Y, Ma J, Xie R, Liu Z, Su E, Ren Y, Zhao X, Zhang X, Lu Z.","Front Bioeng Biotechnol. 2023 Jun 23;11:1191240. doi: 10.3389/fbioe.2023.1191240. eCollection 2023.","Wei S","Front Bioeng Biotechnol","2023","2023/07/10","PMC10328388","","10.3389/fbioe.2023.1191240"
"38936715","Distinct planting patterns exert legacy effects on the networks and assembly of root-associated microbiomes in subsequent crops","Dang K, Ma Y, Liang H, Fan Z, Guo S, Li Z, Li H, Zhang S.","Sci Total Environ. 2024 Oct 10;946:174276. doi: 10.1016/j.scitotenv.2024.174276. Epub 2024 Jun 25.","Dang K","Sci Total Environ","2024","2024/06/27","","","10.1016/j.scitotenv.2024.174276"
"35842156","Determining the environmental and economic implications of lupin cultivation in wheat-based organic rotation systems in Galicia, Spain","Rebolledo-Leiva R, Almeida-García F, Pereira-Lorenzo S, Ruíz-Nogueira B, Moreira MT, González-García S.","Sci Total Environ. 2022 Nov 1;845:157342. doi: 10.1016/j.scitotenv.2022.157342. Epub 2022 Jul 14.","Rebolledo-Leiva R","Sci Total Environ","2022","2022/07/16","","","10.1016/j.scitotenv.2022.157342"
"35588818","Introducing lupin in autochthonous wheat rotation systems in Galicia (NW Spain): An environmental and economic assessment","Rebolledo-Leiva R, Almeida-García F, Pereira-Lorenzo S, Ruíz-Nogueira B, Moreira MT, González-García S.","Sci Total Environ. 2022 Sep 10;838(Pt 1):156016. doi: 10.1016/j.scitotenv.2022.156016. Epub 2022 May 17.","Rebolledo-Leiva R","Sci Total Environ","2022","2022/05/19","","","10.1016/j.scitotenv.2022.156016"
"32648900","Impact of land use history on the arbuscular mycorrhizal fungal diversity in arid soils of Argentinean farming fields","Ontivero RE, Voyron S, Allione LVR, Bianco P, Bianciotto V, Iriarte HJ, Lugo MA, Lumini E.","FEMS Microbiol Lett. 2020 Jul 1;367(14):fnaa114. doi: 10.1093/femsle/fnaa114.","Ontivero RE","FEMS Microbiol Lett","2020","2020/07/11","","","10.1093/femsle/fnaa114"
"26828231","Verticillium dahliae Infects, Alters Plant Biomass, and Produces Inoculum on Rotation Crops","Wheeler DL, Johnson DA.","Phytopathology. 2016 Jun;106(6):602-13. doi: 10.1094/PHYTO-07-15-0174-R. Epub 2016 Apr 8.","Wheeler DL","Phytopathology","2016","2016/02/02","","","10.1094/PHYTO-07-15-0174-R"
"19290295","Nematode population densities and yield of sweet potato and onion as affected by nematicides and time of application","Hall MR, Johnson AW, Smittle DA.","J Nematol. 1988 Oct;20(Annals 2):15-21.","Hall MR","J Nematol","1988","2009/03/18","PMC2618863","",""
"35456849","Three Preceding Crops Increased the Yield of and Inhibited Clubroot Disease in Continuously Monocropped Chinese Cabbage by Regulating the Soil Properties and Rhizosphere Microbial Community","Zhang Y, Li W, Lu P, Xu T, Pan K.","Microorganisms. 2022 Apr 10;10(4):799. doi: 10.3390/microorganisms10040799.","Zhang Y","Microorganisms","2022","2022/04/23","PMC9028536","","10.3390/microorganisms10040799"
"18944648","Host Range Specificity in Verticillium dahliae","Bhat RG, Subbarao KV.","Phytopathology. 1999 Dec;89(12):1218-25. doi: 10.1094/PHYTO.1999.89.12.1218.","Bhat RG","Phytopathology","1999","2008/10/24","","","10.1094/PHYTO.1999.89.12.1218"
"25784695","Nonribosomal peptides, key biocontrol components for Pseudomonas fluorescens In5, isolated from a Greenlandic suppressive soil","Michelsen CF, Watrous J, Glaring MA, Kersten R, Koyama N, Dorrestein PC, Stougaard P.","mBio. 2015 Mar 17;6(2):e00079. doi: 10.1128/mBio.00079-15.","Michelsen CF","mBio","2015","2015/03/19","PMC4453515","","10.1128/mBio.00079-15"
"37721523","Rhizoctonia solani AG1-IB, AG1-IC, and AG4-HGII cause bottom rot of field lettuce in Vermont","Neher DA, Weicht TR, Olson N, Andrews TD, Brodie C.","Plant Dis. 2023 Sep 18. doi: 10.1094/PDIS-04-23-0777-PDN. Online ahead of print.","Neher DA","Plant Dis","2023","2023/09/18","","","10.1094/PDIS-04-23-0777-PDN"
"35783958","Comparative Transcriptome Analysis Reveals the Specific Activation of Defense Pathways Against Globodera pallida in Gpa2 Resistant Potato Roots","Zheng Q, Bertran A, Brand A, van Schaik CC, van de Ruitenbeek SJS, Smant G, Goverse A, Sterken MG.","Front Plant Sci. 2022 Jun 17;13:909593. doi: 10.3389/fpls.2022.909593. eCollection 2022.","Zheng Q","Front Plant Sci","2022","2022/07/05","PMC9248836","","10.3389/fpls.2022.909593"
"16907752","Ranking the magnitude of crop and farming system effects on soil microbial biomass and genetic structure of bacterial communities","Hartmann M, Fliessbach A, Oberholzer HR, Widmer F.","FEMS Microbiol Ecol. 2006 Sep;57(3):378-88. doi: 10.1111/j.1574-6941.2006.00132.x.","Hartmann M","FEMS Microbiol Ecol","2006","2006/08/16","","","10.1111/j.1574-6941.2006.00132.x"
"17349138","Transgenes sustain epigeal insect biodiversity in diversified vegetable farm systems","Leslie TW, Hoheisel GA, Biddinger DJ, Rohr JR, Fleischer SJ.","Environ Entomol. 2007 Feb;36(1):234-44. doi: 10.1603/0046-225x(2007)36[234:tseibi]2.0.co;2.","Leslie TW","Environ Entomol","2007","2007/03/14","","","10.1603/0046-225x(2007)36[234:tseibi]2.0.co;2"
"12175042","Simulated effects of crop rotations and residue management on wind erosion in Wuchuan, west-central Inner Mongolia, China","Wang E, Harman WL, Williams JR, Xu C.","J Environ Qual. 2002 Jul-Aug;31(4):1240-7. doi: 10.2134/jeq2002.1240.","Wang E","J Environ Qual","2002","2002/08/15","","","10.2134/jeq2002.1240"
"26030877","Spatial and Temporal Potato Intensification Drives Insecticide Resistance in the Specialist Herbivore, Leptinotarsa decemlineata","Huseth AS, Petersen JD, Poveda K, Szendrei Z, Nault BA, Kennedy GG, Groves RL.","PLoS One. 2015 Jun 1;10(6):e0127576. doi: 10.1371/journal.pone.0127576. eCollection 2015.","Huseth AS","PLoS One","2015","2015/06/02","PMC4452079","","10.1371/journal.pone.0127576"
"33515895","Evaluating the environmental profiles of winter wheat rotation systems under different management strategies","González-García S, Almeida F, Moreira MT, Brandão M.","Sci Total Environ. 2021 May 20;770:145270. doi: 10.1016/j.scitotenv.2021.145270. Epub 2021 Jan 21.","González-García S","Sci Total Environ","2021","2021/01/30","","","10.1016/j.scitotenv.2021.145270"
"39219007","First Report of Rhizoctonia solani AG1-IB Causing Tobacco Target Spot in China","Liu T, Mao H, Li X, Ma X, Li J, Huang H, Zhang C, Wu Y.","Plant Dis. 2024 Aug 27. doi: 10.1094/PDIS-01-24-0208-PDN. Online ahead of print.","Liu T","Plant Dis","2024","2024/09/01","","","10.1094/PDIS-01-24-0208-PDN"
"34069593","Occurrence and Anastomosis Grouping of Rhizoctonia spp. Inducing Black Scurf and Greyish-White Felt-Like Mycelium on Carrot in Sweden","Marcou S, Wikström M, Ragnarsson S, Persson L, Höfte M.","J Fungi (Basel). 2021 May 19;7(5):396. doi: 10.3390/jof7050396.","Marcou S","J Fungi (Basel)","2021","2021/06/02","PMC8160745","","10.3390/jof7050396"
"16329944","Assessment of differences in ascomycete communities in the rhizosphere of field-grown wheat and potato","Viebahn M, Veenman C, Wernars K, van Loon LC, Smit E, Bakker PA.","FEMS Microbiol Ecol. 2005 Jul 1;53(2):245-53. doi: 10.1016/j.femsec.2004.12.014.","Viebahn M","FEMS Microbiol Ecol","2005","2005/12/07","","","10.1016/j.femsec.2004.12.014"
"36131499","First Report of Gray Leaf Spot Caused by Pyricularia oryzae on Common Millet in Italy","Sanna M, Luongo I, Gullino ML, Mezzalama M.","Plant Dis. 2022 Sep 21. doi: 10.1094/PDIS-06-22-1500-PDN. Online ahead of print.","Sanna M","Plant Dis","2022","2022/09/22","","","10.1094/PDIS-06-22-1500-PDN"
"38971960","Onion (Allium cepa L.) as a new host for 'Candidatus Arsenophonus phytopathogenicus' in Germany","Therhaag E, Ulrich R, Gross J, Schneider B.","Plant Dis. 2024 Jul 6. doi: 10.1094/PDIS-03-24-0526-PDN. Online ahead of print.","Therhaag E","Plant Dis","2024","2024/07/07","","","10.1094/PDIS-03-24-0526-PDN"
"19265920","Suppression of Pratylenchus penetrans populations in potato and tomato using african marigolds","Alexander SA, Waldenmaier CM.","J Nematol. 2002 Jun;34(2):130-4.","Alexander SA","J Nematol","2002","2009/03/07","PMC2620546","",""
"25612311","Determination of factors associated with natural soil suppressivity to potato common scab","Sagova-Mareckova M, Daniel O, Omelka M, Kristufek V, Divis J, Kopecky J.","PLoS One. 2015 Jan 22;10(1):e0116291. doi: 10.1371/journal.pone.0116291. eCollection 2015.","Sagova-Mareckova M","PLoS One","2015","2015/01/23","PMC4303419","","10.1371/journal.pone.0116291"
"28231216","Influences of Biodynamic and Conventional Farming Systems on Quality of Potato (Solanum Tuberosum L.) Crops: Results from Multivariate Analyses of Two Long-Term Field Trials in Sweden","Kjellenberg L, Granstedt A.","Foods. 2015 Sep 15;4(3):440-462. doi: 10.3390/foods4030440.","Kjellenberg L","Foods","2015","2017/02/24","PMC5224538","","10.3390/foods4030440"
"32557891","Canopy photosynthesis of six major arable crops is enhanced under diffuse light due to canopy architecture","Emmel C, D'Odorico P, Revill A, Hörtnagl L, Ammann C, Buchmann N, Eugster W.","Glob Chang Biol. 2020 Sep;26(9):5164-5177. doi: 10.1111/gcb.15226. Epub 2020 Jul 16.","Emmel C","Glob Chang Biol","2020","2020/06/20","","","10.1111/gcb.15226"
"30727112","First Report of Rhizoctonia solani AG2-2IIIB Infecting Potato Stems and Stolons in the United States","Woodhall JW, Belcher AR, Peters JC, Kirk WW, Wharton PS.","Plant Dis. 2012 Mar;96(3):460. doi: 10.1094/PDIS-10-11-0899.","Woodhall JW","Plant Dis","2012","2019/02/08","","","10.1094/PDIS-10-11-0899"
"34032487","First Report of Rhizoctonia solani AG2-1 on roots of wheat in Kazakhstan","Özer G, Mustafa İ, Bozoglu T, Dababat AA.","Plant Dis. 2021 May 25. doi: 10.1094/PDIS-04-21-0786-PDN. Online ahead of print.","Özer G","Plant Dis","2021","2021/05/25","","","10.1094/PDIS-04-21-0786-PDN"
"27913871","N(2)O emission characteristics and its affecting factors in rain-fed potato fields in Wuchuan County, China","Wang L, Wang C, Pan Z, Xu H, Gao L, Zhao P, Dong Z, Zhang J, Cui G, Wang S, Han G, Zhao H.","Int J Biometeorol. 2017 May;61(5):911-919. doi: 10.1007/s00484-016-1271-3. Epub 2016 Dec 3.","Wang L","Int J Biometeorol","2017","2016/12/04","","","10.1007/s00484-016-1271-3"
"31463029","Effects of contemporary agricultural land cover on Colorado potato beetle genetic differentiation in the Columbia Basin and Central Sands","Crossley MS, Rondon SI, Schoville SD.","Ecol Evol. 2019 Jul 31;9(16):9385-9394. doi: 10.1002/ece3.5489. eCollection 2019 Aug.","Crossley MS","Ecol Evol","2019","2019/08/30","PMC6706216","","10.1002/ece3.5489"
"38720541","First Report of Wilt Caused by Fusarium nanum (FIESC 25) on Mungbean (Vigna radiata) in Pakistan","Kamran M, Ullah I, Ehetisham-Ul-Haq M, Umar Shahbaz M, Abbas H, Jawad Asghar M, Shahid M, Pervaiz Akhtar K, Abbas H.","Plant Dis. 2024 May 8. doi: 10.1094/PDIS-04-24-0751-PDN. Online ahead of print.","Kamran M","Plant Dis","2024","2024/05/09","","","10.1094/PDIS-04-24-0751-PDN"
"19290204","Nematode problems affecting agriculture in the Philippines","Davide RG.","J Nematol. 1988 Apr;20(2):214-8.","Davide RG","J Nematol","1988","2009/03/18","PMC2618802","",""
"24817433","The Red Queen in a potato field: integrated pest management versus chemical dependency in Colorado potato beetle control","Alyokhin A, Mota-Sanchez D, Baker M, Snyder WE, Menasha S, Whalon M, Dively G, Moarsi WF.","Pest Manag Sci. 2015 Mar;71(3):343-56. doi: 10.1002/ps.3826. Epub 2014 Jun 6.","Alyokhin A","Pest Manag Sci","2015","2014/05/13","","","10.1002/ps.3826"
"30861951","Identification of a Gene Conferring High Levels of Resistance to Verticillium Wilt in Solanum chacoense","Lynch DR, Kawchuk LM, Hachey J, Bains PS, Howard RJ.","Plant Dis. 1997 Sep;81(9):1011-1014. doi: 10.1094/PDIS.1997.81.9.1011.","Lynch DR","Plant Dis","1997","2019/03/14","","","10.1094/PDIS.1997.81.9.1011"
"30727498","First Report of Sugar Beet Seedling Damping-Off Caused by Binucleate Rhizoctonia AG-A in China","Wang PP, Wu XH.","Plant Dis. 2012 Nov;96(11):1696. doi: 10.1094/PDIS-05-12-0492-PDN.","Wang PP","Plant Dis","2012","2019/02/08","","","10.1094/PDIS-05-12-0492-PDN"
"30708692","First Report of Rhizoctonia solani AG 4HG-III Causing Potato Stem Canker in South Africa","Muzhinji N, Woodhall JW, Truter M, van der Waals JE.","Plant Dis. 2014 Jun;98(6):853. doi: 10.1094/PDIS-11-13-1131-PDN.","Muzhinji N","Plant Dis","2014","2019/02/03","","","10.1094/PDIS-11-13-1131-PDN"
"20565681","Molecular aspects of cyst nematodes","Lilley CJ, Atkinson HJ, Urwin PE.","Mol Plant Pathol. 2005 Nov 1;6(6):577-88. doi: 10.1111/j.1364-3703.2005.00306.x.","Lilley CJ","Mol Plant Pathol","2005","2010/06/23","","","10.1111/j.1364-3703.2005.00306.x"
"35168031","Effects of different cropping systems on ammonia nitrogen load in a typical agricultural watershed of South China","Jiang J, Li J, Wang Z, Wu X, Lai C, Chen X.","J Contam Hydrol. 2022 Apr;246:103963. doi: 10.1016/j.jconhyd.2022.103963. Epub 2022 Feb 2.","Jiang J","J Contam Hydrol","2022","2022/02/15","","","10.1016/j.jconhyd.2022.103963"
"28642779","Mitigating Groundwater Depletion in North China Plain with Cropping System that Alternate Deep and Shallow Rooted Crops","Yang XL, Chen YQ, Steenhuis TS, Pacenka S, Gao WS, Ma L, Zhang M, Sui P.","Front Plant Sci. 2017 Jun 8;8:980. doi: 10.3389/fpls.2017.00980. eCollection 2017.","Yang XL","Front Plant Sci","2017","2017/06/24","PMC5463059","","10.3389/fpls.2017.00980"
"39359040","First report of Fusarium falciforme causing root and stem rot in cowpea (syn. black-eyed pea; Vigna unguiculata) in California","Zimmerman K, Clark NE, Turini TA, Paulk A, Del Castillo Múnera J, Li N, Geiser D, Martin FN, Swett CL.","Plant Dis. 2024 Oct 2. doi: 10.1094/PDIS-08-24-1609-PDN. Online ahead of print.","Zimmerman K","Plant Dis","2024","2024/10/03","","","10.1094/PDIS-08-24-1609-PDN"
"11057725","Inheritance and synergism of resistance to imidacloprid in the Colorado potato beetle (Coleoptera: Chrysomelidae)","Zhao JZ, Bishop BA, Grafius EJ.","J Econ Entomol. 2000 Oct;93(5):1508-14. doi: 10.1603/0022-0493-93.5.1508.","Zhao JZ","J Econ Entomol","2000","2000/11/01","","","10.1603/0022-0493-93.5.1508"
"30780668","First Report of Ralstonia solanacearum Race 3 Biovar 2A Infecting Potato and Weeds in Mauritius","Khoodoo MHR, Ganoo ES, Saumtally S.","Plant Dis. 2007 Sep;91(9):1200. doi: 10.1094/PDIS-91-9-1200B.","Khoodoo MHR","Plant Dis","2007","2019/02/21","","","10.1094/PDIS-91-9-1200B"
"30812629","First Report of Cucumber Black Root Rot Caused by Phomopsis sclerotioides in Italy","Cappelli C, Stravato VM, Carannante G, Parisella R.","Plant Dis. 2004 Apr;88(4):425. doi: 10.1094/PDIS.2004.88.4.425A.","Cappelli C","Plant Dis","2004","2019/03/01","","","10.1094/PDIS.2004.88.4.425A"
